,hmid,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,age,country,gender,marital,parenthood
26327,54143,4666,24h,My son gave me a hug because I let him invite a friend over than do his homework. ,My son gave me a hug because I let him invite a friend over than do his homework. ,True,1,,affection,44.0,USA,f,married,y
95260,123460,935,24h,I found a new script to use,I found a new script to use,True,1,,achievement,24.0,USA,f,single,y
10292,38029,451,24h,I went drinking with friends and got a phone number from a really good looking girl.,I went drinking with friends and got a phone number from a really good looking girl.,True,1,,bonding,23.0,USA,m,single,n
88047,116206,229,24h,I ate delicious carne asada tacos and elotes for lunch today.,I ate delicious carne asada tacos and elotes for lunch today.,True,1,,enjoy_the_moment,35.0,USA,f,single,n
96421,124626,11022,24h,"I went out to go shopping with my girlfriend. She and I went to go buy weights so we could work out. We went to good will, a thrift store, Ross, and target. It was enjoyable being out with her but eventually I got tired and we went home. Oh yeah we also went to HEB to buy stuff for tacos, yum.","I went out to go shopping with my girlfriend. She and I went to go buy weights so we could work out. We went to good will, a thrift store, Ross, and target. It was enjoyable being out with her but eventually I got tired and we went home. Oh yeah we also went to HEB to buy stuff for tacos, yum.",True,5,,affection,20.0,USA,m,single,n
5491,33208,3543,24h,Woke up at the time I wanted to.,Woke up at the time I wanted to.,True,1,achievement,achievement,19.0,USA,m,single,n
19372,47154,1912,24h,My husband brought home a pizza for supper last night.,My husband brought home a pizza for supper last night.,True,1,,affection,26.0,USA,f,married,n
17792,45567,1647,24h,I finished a big work project.,I finished a big work project.,True,1,,achievement,38.0,USA,f,married,n
98454,126671,6328,24h,"My girlfriend and I said ""I love you"" to eachother.","My girlfriend and I said ""I love you"" to each other.",False,1,,affection,24.0,USA,m,single,n
94648,122845,423,24h,I ordered some really cute items online.,I ordered some really cute items online.,True,1,,enjoy_the_moment,29.0,USA,f,married,n
24598,52404,367,24h,I closed my eight-day short-sale of a stock and earned ~US$70.,I closed my eight-day short-sale of a stock and earned ~US$70.,True,1,,achievement,21.0,USA,m,single,n
10377,38115,2131,24h,I took pictures for my sisters prom and she was very happy with how they turned out. ,I took pictures for my sisters prom and she was very happy with how they turned out. ,True,1,,affection,22.0,USA,m,single,n
11269,39011,2508,24h,My mother and I went shopping. It made me happy because we were able to buy the things we wanted.,My mother and I went shopping. It made me happy because we were able to buy the things we wanted.,True,2,,affection,24.0,USA,f,single,n
27870,55697,2058,24h,My boyfriend and I spent the morning at a nursery picking out plants for our garden.,My boyfriend and I spent the morning at a nursery picking out plants for our garden.,True,1,,affection,26.0,USA,f,single,n
10505,38243,8701,24h,I saw a dog a hanging his head out the window and his tongue hanging out.,I saw a dog a hanging his head out the window and his tongue hanging out.,True,1,,affection,26.0,USA,f,single,n
12448,40198,295,24h,I found an obscure book I've been trying to track down.,I found an obscure book I've been trying to track down.,True,1,,achievement,34.0,USA,m,single,n
85019,113153,1642,24h,"I was able to try the new coffee creamer at work today. It was a flavor that I had never tried before, and it ended up tasting very sweet!","I was able to try the new coffee creamer at work today. It was a flavor that I had never tried before, and it ended up tasting very sweet!",True,2,,achievement,24.0,USA,m,single,n
30206,58047,9052,24h,I had an uninterrupted couple of hours late night to pore over major league baseball box scores- something I have loved to do for years. ,I had an uninterrupted couple of hours late night to pore over major league baseball box scores- something I have loved to do for years. ,True,1,leisure,leisure,52.0,USA,m,divorced,y
19322,47104,338,24h,It made me happy to go for a walk with my partner yesterday evening.,It made me happy to go for a walk with my partner yesterday evening.,True,1,,affection,38.0,USA,f,single,n
3102,30792,365,24h,Finding out my lost keys were picked up and returned to the store for me to pick up.,Finding out my lost keys were picked up and returned to the store for me to pick up.,True,1,,achievement,30.0,USA,m,married,y
96756,124962,590,24h,"My boyfriend took over and did dishes/bath/bedtime so I could have the evening off yesterday, ","My boyfriend took over and did dishes/bath/bedtime so I could have the evening off yesterday, ",True,1,,affection,34.0,USA,f,single,n
631,28304,598,24h,I started watching Black Mirror and it was very good.,I started watching Black Mirror and it was very good.,True,1,,leisure,23.0,USA,f,single,n
318,27991,2029,24h,When me and my wife shared pleasures. Both of us were very happy.,When me and my wife shared pleasures. Both of us were very happy.,True,2,affection,affection,55.0,USA,m,married,n
15351,43120,680,24h,My wife surprised me last night and got us a bottle of wine to share. ,My wife surprised me last night and got us a bottle of wine to share. ,True,1,,affection,26.0,USA,m,married,y
90253,118426,2142,24h,I traded my old care in and I got a new car today. ,I traded my old care in and I got a new car today. ,True,1,,achievement,26.0,USA,f,married,y
3625,31323,303,24h,The beautiful spring weather that God created; waking up with the sun shining and the temperature just right has been such a blessing!,The beautiful spring weather that God created; waking up with the sun shining and the temperature just right has been such a blessing!,True,1,,nature,27.0,USA,f,single,n
82274,110390,957,24h,I discovered a new musician that I like.,I discovered a new musician that I like.,True,1,,enjoy_the_moment,32.0,USA,m,single,y
11078,38819,137,24h,I ate frozen yogurt at a new restaurant called Spoonlickers.,I ate frozen yogurt at a new restaurant called Spoonlickers.,True,1,,enjoy_the_moment,28.0,USA,m,divorced,n
86849,114998,17,24h,I had a delicious dinner tonight with teriyaki sticks and corn with green beans. ,I had a delicious dinner tonight with teriyaki sticks and corn with green beans. ,True,1,,enjoy_the_moment,30.0,USA,m,single,n
27307,55129,3301,24h,I turned some music and my daughter and I danced this morning. It definitely was fun and made me feel like I was on a tv show.,I turned some music and my daughter and I danced this morning. It definitely was fun and made me feel like I was on a tv show.,True,2,,affection,27.0,USA,f,single,y
14506,42270,764,24h,Went laser tagging with my friends downtown.,Went laser tagging with my friends downtown.,True,1,,bonding,31.0,USA,m,married,n
6727,34447,271,24h,"Successfully unlocking my phone with a password.  Seriously.  I apparently slept with my phone in my hand I attempted to log-in and failed 14 times out of 15.  Apparently, after the fifteenth time, my Samsung Galaxy S6 will do a factory reset.  That was scary.","Successfully unlocking my phone with a password.  Seriously.  I apparently slept with my phone in my hand I attempted to log-in and failed 14 times out of 15.  Apparently, after the fifteenth time, my Samsung Galaxy S6 will do a factory reset.  That was scary.",True,5,,achievement,36.0,USA,m,married,y
94232,122429,9,24h,"Went to the grocery store and asked the fish/butcher guy for a very small cut of tuna which I've always wanted to try, it came out great will have it again. ","Went to the grocery store and asked the fish/butcher guy for a very small cut of tuna which I've always wanted to try, it came out great will have it again. ",True,1,,achievement,61.0,USA,f,married,y
3309,31004,207,24h,Going to the movies with my wife.,Going to the movies with my wife.,True,1,,affection,42.0,USA,m,married,n
10660,38398,36,24h,I recieved something in the mail I was waiting for.,I received something in the mail I was waiting for.,False,1,,enjoy_the_moment,37.0,USA,m,single,n
22870,50667,598,24h,My sister finally willingly talked about her life with me.,My sister finally willingly talked about her life with me.,True,1,,affection,23.0,USA,f,single,n
87663,115819,89,24h,I finished a project early this morning. I had been working on it for the last few days.,I finished a project early this morning. I had been working on it for the last few days.,True,2,,achievement,36.0,USA,f,single,n
85687,113826,407,24h,My sunscreen from Japan arrived in my mail today.,My sunscreen from Japan arrived in my mail today.,True,1,,achievement,26.0,USA,m,single,n
84441,112571,275,24h,I ate a chunk of queso fresco fresh from the spoon.,I ate a chunk of queso fresco fresh from the spoon.,True,1,,leisure,38.0,USA,m,single,n
88380,116540,637,24h,A package I ordered yesterday has already shipped.,A package I ordered yesterday has already shipped.,True,1,,enjoy_the_moment,33.0,USA,f,single,n
93459,121653,357,24h,I went to the bar with friends.,I went to the bar with friends.,True,1,,bonding,26.0,USA,m,married,n
4898,32607,1658,24h,I have been trying to gain weight and have gained almost 10 pounds in muscle,I have been trying to gain weight and have gained almost 10 pounds in muscle,True,1,,achievement,22.0,USA,m,single,n
20373,48158,1195,24h,"When I woke up this morning, my wife had made a pancake breakfast with fresh coffee, and we had breakfast together. ","When I woke up this morning, my wife had made a pancake breakfast with fresh coffee, and we had breakfast together. ",True,1,,affection,25.0,USA,m,married,n
15703,43472,1086,24h,I did yoga this morning to try to make my back and neck more limber.,I did yoga this morning to try to make my back and neck more limber.,True,1,,exercise,28.0,USA,m,single,n
26687,54504,2411,24h,Taking a warm shower. ,Taking a warm shower. ,True,1,,leisure,22.0,USA,f,married,y
29936,57777,4507,24h,I ate a red beet egg.,I ate a red beet egg.,True,1,,leisure,33.0,USA,m,divorced,n
12846,40597,1989,24h,My fiance texted me and asked if we wanted to go on a date night after he was off work.,My fiance texted me and asked if we wanted to go on a date night after he was off work.,True,1,,affection,29.0,USA,f,single,n
30398,58240,1364,24h,I enjoyed a great lunch consisting of Chinese food.,I enjoyed a great lunch consisting of Chinese food.,True,1,,enjoy_the_moment,61.0,USA,m,married,y
12855,40606,1004,24h,I was happy when I got to work on my yard.,I was happy when I got to work on my yard.,True,1,,achievement,33.0,USA,m,married,y
89042,117206,229,24h,It didn't start raining until after I got home from work. ,It didn't start raining until after I got home from work. ,True,1,nature,nature,35.0,USA,f,single,n
2105,29790,217,24h,When I began to do all the overtime I wanted to pay off some bills.,When I began to do all the overtime I wanted to pay off some bills.,True,1,,achievement,44.0,USA,f,single,y
29635,57474,823,24h,"Moment.me was launched in 2012. In May 2012, the New York-based startup, founded by Ronny Elkayam, Boaz Adato and Eilon Tirosh, took in $1.5 million USD in seed funding from Blumberg Capital, SingTel Innov8 and private investors. The companyas smart-matching technology, called HintMachine, turns out-of-context digital assets into cohesive shared albums.[1]","Moment.me was launched in 2012. In May 2012, the New York-based startup, founded by Ronny Elkayam, Boaz Adato and Eilon Tirosh, took in $1.5 million USD in seed funding from Blumberg Capital, SingTel Innov8 and private investors. The companyas smart-matching technology, called HintMachine, turns out-of-context digital assets into cohesive shared albums.[1]",True,4,,achievement,28.0,USA,m,married,y
85971,114112,8329,24h,"An event that made me happy in the past 24 hours was when I was able to get a medical bill written off completely. The hospital had not followed proper procedures to get insurance approval for the treatment, which was a violation of their contract with the insurance company. Because of this the insurance company denied the claim and stated that I did not have to pay the bill. After spending 2.5 hours on the phone with the hospital and insurance company today it was concluded that the insurance company was correct and I did not have to pay the money.","An event that made me happy in the past 24 hours was when I was able to get a medical bill written off completely. The hospital had not followed proper procedures to get insurance approval for the treatment, which was a violation of their contract with the insurance company. Because of this the insurance company denied the claim and stated that I did not have to pay the bill. After spending 2.5 hours on the phone with the hospital and insurance company today it was concluded that the insurance company was correct and I did not have to pay the money.",True,4,achievement,achievement,34.0,USA,f,married,y
91942,120124,643,24h,I played games with a good friend.,I played games with a good friend.,True,1,,bonding,31.0,USA,m,married,y
17570,45344,1428,24h,My son did well at a baseball tryout.,My son did well at a baseball tryout.,True,1,,affection,38.0,USA,f,married,y
6212,33932,12753,24h,I was happy today when I helped my mother-in-law which her financial adviser.  His company was not taking care of her investments and she was losing money. She asked me to go to her adviser today to assist with changes. This made me happy knowing that she had peace of mind about her investments and was grateful that I was there to help her.,I was happy today when I helped my mother-in-law which her financial adviser.  His company was not taking care of her investments and she was losing money. She asked me to go to her adviser today to assist with changes. This made me happy knowing that she had peace of mind about her investments and was grateful that I was there to help her.,True,4,affection,affection,50.0,USA,f,married,y
85588,113727,22,24h,"There is a flower garden near my home, and I stopped there on my way home today just to smell the Spring flowers.","There is a flower garden near my home, and I stopped there on my way home today just to smell the Spring flowers.",True,1,,nature,32.0,USA,m,single,n
99852,128077,2281,24h,My daughter lives in Germany and came home for her job but is staying with me and the rest of the family.,My daughter lives in Germany and came home for her job but is staying with me and the rest of the family.,True,1,,affection,55.0,USA,f,divorced,y
22641,50435,474,24h,"a favorite co-worker whom has been on a ""call when needed"" basis at work got a full time position at my work so I will see her more often.","a favorite co-worker whom has been on a ""call when needed"" basis at work got a full time position at my work so I will see her more often.",True,1,,bonding,58.0,USA,f,married,y
26844,54662,519,24h,I took a nap and snuggled with my dog.,I took a nap and snuggled with my dog.,True,1,,affection,32.0,USA,f,single,n
27103,54924,423,24h,I ordered sushi for lunch.,I ordered sushi for lunch.,True,1,enjoy_the_moment,enjoy_the_moment,29.0,USA,f,married,n
886,28559,2041,24h,I made the final table of a poker tournament.,I made the final table of a poker tournament.,True,1,achievement,achievement,24.0,USA,m,single,n
18814,46595,170,24h,I went to the mall.,I went to the mall.,True,1,,leisure,68.0,USA,f,separated,y
94231,122428,1512,24h,I bought a new container of Blue Bunny ice cream.,I bought a new container of Blue Bunny ice cream.,True,1,,achievement,24.0,USA,m,single,n
89086,117250,1925,24h,Last night I got to play basketball with a few friends.,Last night I got to play basketball with a few friends.,True,1,,bonding,28.0,USA,m,single,n
3877,31576,4371,24h,This morning I had a lively conversation with my wife about various news and also about plans for our house. ,This morning I had a lively conversation with my wife about various news and also about plans for our house. ,True,1,,affection,49.0,USA,m,married,y
98272,126488,1180,24h,I received a bonus at work.,I received a bonus at work.,True,1,achievement,achievement,29.0,USA,m,single,n
82091,110206,284,24h,Waking up early before work and being able to do extra stuff at home.,Waking up early before work and being able to do extra stuff at home.,True,1,,achievement,34.0,USA,m,single,n
23666,51466,2076,24h,The rice I made was cooked evenly and had no hard bits.,The rice I made was cooked evenly and had no hard bits.,True,1,,achievement,23.0,USA,m,single,n
94599,122796,4214,24h,I got to wake up after a full night's sleep without having to use my alarm clock.,I got to wake up after a full night's sleep without having to use my alarm clock.,True,1,,achievement,22.0,USA,m,single,n
28112,55939,3927,24h,My heart was warmed watching my son play football today.,My heart was warmed watching my son play football today.,True,1,,affection,34.0,USA,m,married,y
87136,115290,810,24h,I went on a golf trip with some friends.,I went on a golf trip with some friends.,True,1,,bonding,25.0,USA,m,single,n
93210,121403,548,24h,I did all the yard work by myself. ,I did all the yard work by myself. ,True,1,,achievement,26.0,USA,f,single,n
92203,120388,7010,24h,I discovered a new store that sells many things I really like.,I discovered a new store that sells many things I really like.,True,1,,enjoy_the_moment,22.0,USA,f,single,n
3524,31221,12288,24h,The inability of Republicans to repeal the ACA made me so happy because I absolutely need health insurance right now and would not be able to afford what was going to be available in the new plan.,The inability of Republicans to repeal the ACA made me so happy because I absolutely need health insurance right now and would not be able to afford what was going to be available in the new plan.,True,1,,achievement,63.0,USA,m,divorced,y
96887,125094,741,24h,My neighbor brought me cookies her mother made.,My neighbor brought me cookies her mother made.,True,1,,affection,33.0,USA,m,single,n
91083,119259,928,24h,"I met one of my best friend's new girlfriend and she's really good for him, so I'm excited for him. ","I met one of my best friend's new girlfriend and she's really good for him, so I'm excited for him. ",True,1,,bonding,27.0,USA,m,single,n
7244,34969,349,24h,I had sex with my girlfriend after movie. .we had reply nice time togethe and she was praising me foe my staminr this thing made me happy. ,I had sex with my girlfriend after movie. .we had reply nice time together and she was praising me foe my stamina this thing made me happy. ,False,2,,affection,24.0,USA,m,single,n
90551,118725,9904,24h,"Coming home from work to find my baby daughter wide awake, allowing me to spend time with her.","Coming home from work to find my baby daughter wide awake, allowing me to spend time with her.",True,1,,affection,30.0,USA,m,married,y
88870,117031,13502,24h,A friend and I stood at the edge of a state park lake. ,A friend and I stood at the edge of a state park lake. ,True,1,,bonding,23.0,USA,f,single,n
20346,48131,5605,24h,Getting a good morning text from someone I just started dating.,Getting a good morning text from someone I just started dating.,True,1,affection,affection,51.0,USA,f,divorced,y
21188,48976,1852,24h,I was able to watch dumb movies along with my wife. We had both been busy the past few days and it was the first chance to sit down together. ,I was able to watch dumb movies along with my wife. We had both been busy the past few days and it was the first chance to sit down together. ,True,2,,affection,34.0,USA,m,single,y
6801,34522,2053,24h,"Played guitar, learning a song on it","Played guitar, learning a song on it",True,1,,leisure,35.0,USA,m,single,n
99357,127578,1374,24h,I just bought Titanfall 2 at half price.,I just bought Titanfall 2 at half price.,True,1,,achievement,36.0,USA,m,married,y
9500,37236,12404,24h,I received the financial aid award letter for my daughter's college indicating that she received a 75% grant covering all costs.,I received the financial aid award letter for my daughter's college indicating that she received a 75% grant covering all costs.,True,1,,achievement,44.0,USA,f,married,y
84629,112762,565,24h,My mom and I recently bought flowers and Lowes and today I planted them out back.  It's very relaxing and very satisfying. ,My mom and I recently bought flowers and Lowes and today I planted them out back.  It's very relaxing and very satisfying. ,True,2,,affection,29.0,USA,f,single,n
4112,31813,1360,24h,"An old friend reached out to me on social media, and we are now planning a visit with each other. ","An old friend reached out to me on social media, and we are now planning a visit with each other. ",True,1,,bonding,35.0,USA,f,married,n
92987,121177,550,24h,My friend bought me some groceries because I didn't feel like going to the store.,My friend bought me some groceries because I didn't feel like going to the store.,True,1,bonding,bonding,33.0,USA,f,single,n
19443,47225,878,24h,Going to the gym and having a really good workout.,Going to the gym and having a really good workout.,True,1,,exercise,28.0,USA,m,single,n
89543,117708,2273,24h,My husband gave me many chocolates.,My husband gave me many chocolates.,True,1,,affection,35.0,USA,f,married,y
21161,48949,1242,24h,Returning a blu-ray player I bought online that was wrongly advertised as 3D ended up being very easy.,Returning a blu-ray player I bought online that was wrongly advertised as 3D ended up being very easy.,True,1,,achievement,29.0,USA,f,single,n
19187,46969,3145,24h,I ate food,I ate food,True,1,,enjoy_the_moment,28.0,USA,m,single,n
8516,36248,1121,24h,"I was happy today, this morning, when I remembered that this is my day off work and I'm off work the next three days!","I was happy today, this morning, when I remembered that this is my day off work and I'm off work the next three days!",True,1,enjoy_the_moment,enjoy_the_moment,41.0,USA,m,married,y
